  145.000000     -0.1466576434     -0.0788339395
  268.000000     -0.1466759068     -0.0787851207
  267.000000     -0.1466771865     -0.0787439843
  266.000000     -0.1466608052     -0.0787101892
  265.000000     -0.1466261099     -0.0786834001
  264.000000     -0.1465724726     -0.0786632870
  263.000000     -0.1464992898     -0.0786495260
  262.000000     -0.1464059827     -0.0786417987
  261.000000     -0.1462919974     -0.0786397921
  260.000000     -0.1461568046     -0.0786431992
  259.000000     -0.1459998994     -0.0786517186
  258.000000     -0.1458208021     -0.0786650545
  257.000000     -0.1456190572     -0.0786829167
  256.000000     -0.1453942344     -0.0787050208
  255.000000     -0.1451459307     -0.0787310876
  254.000000     -0.1448737592     -0.0787608447
  253.000000     -0.1445773661     -0.0787940242
  252.000000     -0.1442564197     -0.0788303644
  251.000000     -0.1439106129     -0.0788696090
  250.000000     -0.1435396633     -0.0789115077
  249.000000     -0.1431433132     -0.0789558156
  248.000000     -0.1427213296     -0.0790022934
  247.000000     -0.1422735042     -0.0790507078
  246.000000     -0.1417996534     -0.0791008309
  245.000000     -0.1412996183     -0.0791524404
  244.000000     -0.1407732646     -0.0792053199
  243.000000     -0.1402204829     -0.0792592585
  242.000000     -0.1396411882     -0.0793140511
  241.000000     -0.1390353206     -0.0793694981
  240.000000     -0.1384028445     -0.0794254056
  239.000000     -0.1377437492     -0.0794815854
  238.000000     -0.1370580486     -0.0795378550
  237.000000     -0.1363457815     -0.0795940375
  236.000000     -0.1356070111     -0.0796499617
  235.000000     -0.1348418255     -0.0797054621
  234.000000     -0.1340503375     -0.0797603787
  233.000000     -0.1332326844     -0.0798145573
  232.000000     -0.1323890284     -0.0798678494
  231.000000     -0.1315195563     -0.0799201120
  230.000000     -0.1306244796     -0.0799712079
  229.000000     -0.1297040457     -0.0800210050
  228.000000     -0.1287584935     -0.0800693784
  227.000000     -0.1277881195     -0.0801162074
  226.000000     -0.1267932340     -0.0801613774
  225.000000     -0.1257741719     -0.0802047794
  224.000000     -0.1247312929     -0.0802463101
  223.000000     -0.1236649815     -0.0802858720
  222.000000     -0.1225756467     -0.0803233731
  221.000000     -0.1214637223     -0.0803587271
  220.000000     -0.1203296667     -0.0803918534
  219.000000     -0.1191739632     -0.0804226770
  218.000000     -0.1179971196     -0.0804511288
  217.000000     -0.1167996684     -0.0804771449
  216.000000     -0.1155821670     -0.0805006675
  215.000000     -0.1143451972     -0.0805216442
  214.000000     -0.1130893657     -0.0805400284
  213.000000     -0.1118153038     -0.0805557792
  212.000000     -0.1105236677     -0.0805688611
  211.000000     -0.1092151379     -0.0805792446
  210.000000     -0.1078904200     -0.0805869056
  209.000000     -0.1065502441     -0.0805918258
  208.000000     -0.1051953649     -0.0805939926
  207.000000     -0.1038265621     -0.0805933989
  206.000000     -0.1024446397     -0.0805900434
  205.000000     -0.1010504268     -0.0805839303
  204.000000     -0.0996447769     -0.0805750698
  203.000000     -0.0982285851     -0.0805634775
  202.000000     -0.0968027209     -0.0805491746
  201.000000     -0.0953681286     -0.0805321880
  200.000000     -0.0939257608     -0.0805125504
  199.000000     -0.0924765943     -0.0804903002
  198.000000     -0.0910216311     -0.0804654812
  197.000000     -0.0895618976     -0.0804381430
  196.000000     -0.0880984448     -0.0804083411
  195.000000     -0.0866323488     -0.0803761362
  194.000000     -0.0851647101     -0.0803415950
  193.000000     -0.0836966538     -0.0803047898
  192.000000     -0.0822293300     -0.0802657985
  191.000000     -0.0807639133     -0.0802247046
  190.000000     -0.0793016030     -0.0801815975
  189.000000     -0.0778436232     -0.0801365720
  188.000000     -0.0763912225     -0.0800897287
  187.000000     -0.0749456745     -0.0800411739
  186.000000     -0.0735082772     -0.0799910195
  185.000000     -0.0720803534     -0.0799393829
  184.000000     -0.0706632507     -0.0798863875
  183.000000     -0.0692583412     -0.0798321622
  182.000000     -0.0678670219     -0.0797768414
  181.000000     -0.0664907144     -0.0797205655
  180.000000     -0.0651308649     -0.0796634802
  179.000000     -0.0637889444     -0.0796057371
  178.000000     -0.0624664486     -0.0795474935
  177.000000     -0.0611648979     -0.0794889121
  176.000000     -0.0598858524     -0.0794301622
  175.000000     -0.0586308515     -0.0793714166
  174.000000     -0.0574015050     -0.0793128558
  173.000000     -0.0561994320     -0.0792546654
  172.000000     -0.0550262765     -0.0791970365
  171.000000     -0.0538837068     -0.0791401660
  170.000000     -0.0527734163     -0.0790842563
  169.000000     -0.0516971230     -0.0790295157
  168.000000     -0.0506565694     -0.0789761578
  167.000000     -0.0496535230     -0.0789244024
  166.000000     -0.0486897756     -0.0788744744
  165.000000     -0.0477671441     -0.0788266046
  164.000000     -0.0468874698     -0.0787810297
  163.000000     -0.0460526190     -0.0787379916
  162.000000     -0.0452644823     -0.0786977382
  161.000000     -0.0445249753     -0.0786605230
  160.000000     -0.0438360382     -0.0786266051
  159.000000     -0.0431996358     -0.0785962492
  158.000000     -0.0426177579     -0.0785697259
  157.000000     -0.0420924186     -0.0785473111
  156.000000     -0.0416256570     -0.0785292868
  155.000000     -0.0412195366     -0.0785159403
  154.000000     -0.0408761460     -0.0785075647
  153.000000     -0.0405975982     -0.0785044587
  152.000000     -0.0403860308     -0.0785069269
  151.000000     -0.0402436065     -0.0785152793
  150.000000     -0.0401725127     -0.0785298314
  149.000000     -0.0401749596     -0.0785509050
  148.000000     -0.0402531850     -0.0785788270
  147.000000     -0.0404094502     -0.0786139301
  146.000000     -0.0406460410     -0.0786565528
  129.000000     -0.0409652682     -0.0787070390
